real distance:(1 groups)
14  1:372.8  2:317.8  3:353.3  4:271.1  5:223.9  6:302.9  7:171.0  8:262.2  9:229.0 10:238.4 11:189.9 12:338.8 13:277.1 14:270.2 

measured distance:(200 groups)

14  1:380.5  2:323.8  3:357.2  4:272.6  5:226.4  6:304.2  7:168.5  8:263.4  9:233.5 10:248.1 11:207.3 12:344.0 13:282.1 14:278.3 
14  1:380.4  2:323.6  3:357.7  4:274.0  5:226.1  6:304.4  7:169.9  8:263.9  9:232.8 10:249.4 11:208.1 12:343.9 13:281.8 14:277.4 
14  1:380.6  2:323.7  3:357.9  4:273.4  5:226.1  6:305.0  7:156.4  8:264.0  9:233.4 10:248.9 11:205.6 12:342.4 13:282.1 14:277.5 
14  1:379.8  2:323.7  3:358.1  4:274.2  5:226.1  6:304.7  7:170.1  8:264.0  9:233.4 10:248.9 11:207.3 12:343.9 13:282.0 14:278.3 
14  1:380.6  2:323.1  3:357.5  4:274.6  5:226.3  6:304.6  7:168.7  8:261.7  9:233.4 10:248.2 11:205.7 12:343.9 13:282.1 14:278.3 
14  1:380.2  2:323.7  3:357.9  4:274.0  5:226.3  6:304.6  7:169.9  8:264.0  9:234.1 10:249.8 11:204.0 12:344.0 13:281.6 14:277.4 
14  1:380.4  2:323.8  3:357.9  4:274.0  5:226.2  6:304.6  7:170.0  8:263.4  9:233.4 10:249.7 11:205.2 12:344.1 13:280.7 14:278.3 
14  1:379.1  2:323.1  3:356.6  4:272.5  5:225.5  6:304.0  7:169.3  8:262.7  9:233.6 10:247.4 11:204.4 12:343.4 13:281.4 14:277.6 
14  1:380.8  2:323.8  3:357.7  4:274.7  5:226.2  6:304.0  7:170.1  8:264.0  9:230.1 10:248.9 11:205.6 12:344.1 13:282.2 14:277.5 
14  1:380.4  2:323.7  3:358.2  4:273.6  5:225.4  6:304.1  7:170.1  8:262.5  9:234.9 10:249.1 11:206.0 12:344.0 13:282.1 14:277.4 
14  1:380.3  2:323.5  3:358.0  4:274.3  5:226.1  6:304.4  7:169.9  8:263.8  9:234.2 10:248.8 11:207.3 12:343.8 13:281.0 14:278.2 
14  1:380.6  2:323.7  3:358.1  4:274.7  5:212.7  6:305.2  7:169.5  8:262.5  9:233.7 10:249.0 11:208.4 12:344.0 13:281.3 14:278.3 
14  1:379.3  2:323.7  3:358.1  4:274.1  5:225.6  6:305.0  7:170.0  8:264.0  9:233.6 10:248.4 11:214.5 12:344.0 13:282.1 14:276.9 
14  1:380.5  2:323.6  3:357.8  4:272.7  5:226.1  6:304.9  7:170.0  8:263.9  9:234.3 10:248.9 11:208.4 12:343.3 13:281.2 14:278.2 
14  1:380.5  2:323.5  3:357.9  4:274.7  5:225.5  6:304.8  7:170.0  8:263.8  9:234.2 10:248.0 11:220.8 12:343.8 13:281.2 14:277.3 
14  1:380.3  2:323.6  3:357.9  4:274.1  5:226.2  6:304.7  7:170.1  8:263.9  9:234.2 10:248.1 11:206.4 12:344.0 13:281.3 14:278.3 
14  1:380.5  2:323.6  3:358.5  4:274.6  5:226.3  6:305.0  7:170.0  8:264.0  9:233.6 10:248.1 11:205.6 12:330.3 13:282.1 14:278.2 
14  1:380.8  2:323.6  3:358.3  4:273.8  5:225.5  6:304.6  7:170.0  8:263.5  9:233.5 10:248.2 11:205.6 12:344.0 13:282.1 14:278.3 
14  1:380.0  2:323.3  3:358.5  4:274.0  5:225.4  6:304.6  7:170.0  8:263.9  9:233.6 10:249.0 11:209.0 12:343.9 13:282.2 14:278.2 
14  1:380.7  2:323.6  3:357.9  4:274.6  5:226.1  6:305.0  7:170.0  8:263.9  9:233.5 10:249.1 11:206.4 12:330.3 13:268.3 14:277.7 
14  1:379.8  2:323.5  3:357.9  4:273.9  5:226.1  6:304.6  7:169.8  8:263.8  9:232.8 10:248.0 11:203.9 12:343.9 13:281.9 14:278.1 
14  1:380.8  2:323.7  3:357.9  4:273.4  5:224.7  6:303.6  7:170.0  8:263.9  9:231.9 10:248.9 11:204.0 12:342.5 13:281.3 14:278.3 
14  1:380.9  2:323.7  3:357.7  4:273.8  5:226.1  6:291.6  7:168.3  8:263.7  9:233.3 10:248.0 11:204.1 12:343.9 13:281.8 14:278.2 
14  1:380.4  2:323.5  3:357.7  4:273.9  5:226.1  6:304.3  7:169.9  8:263.9  9:232.8 10:248.0 11:204.7 12:343.8 13:280.3 14:278.2 
14  1:380.4  2:323.5  3:344.5  4:273.2  5:212.8  6:304.7  7:170.0  8:263.9  9:233.4 10:248.1 11:204.5 12:343.9 13:282.0 14:277.7 
14  1:379.6  2:166.6  3:343.6  4:273.4  5:225.6  6:304.0  7:169.5  8:262.6  9:231.3 10:247.8 11:215.2 12:343.5 13:280.7 14:277.6 
13  1:380.8  3:357.7  4:274.2  5:226.2  6:304.8  7:169.4  8:263.8  9:233.2 10:248.0 11:220.7 12:343.8 13:268.2 14:277.3 
14  1:380.5  2:310.1  3:357.3  4:274.3  5:224.7  6:303.2  7:169.9  8:264.0  9:233.4 10:248.9 11:207.2 12:343.9 13:281.9 14:277.4 
14  1:380.5  2:323.1  3:357.6  4:273.2  5:226.1  6:304.6  7:169.8  8:263.2  9:233.3 10:248.8 11:214.8 12:344.0 13:282.0 14:276.6 
14  1:379.1  2:322.0  3:357.9  4:273.9  5:226.2  6:304.2  7:168.4  8:263.9  9:233.5 10:248.4 11:203.8 12:343.8 13:282.1 14:276.7 
14  1:380.5  2:323.7  3:357.9  4:274.0  5:226.3  6:305.1  7:170.0  8:264.0  9:234.4 10:248.5 11:204.2 12:344.0 13:281.4 14:276.9 
14  1:380.0  2:323.5  3:357.9  4:274.0  5:226.2  6:304.6  7:156.4  8:263.9  9:233.6 10:248.9 11:207.3 12:343.9 13:282.1 14:276.8 
14  1:380.7  2:323.7  3:358.0  4:274.1  5:226.2  6:304.1  7:170.0  8:264.0  9:234.2 10:248.3 11:205.1 12:343.9 13:282.1 14:276.7 
14  1:366.9  2:323.7  3:357.9  4:273.9  5:226.2  6:304.9  7:170.0  8:263.3  9:232.9 10:248.2 11:204.9 12:343.9 13:282.1 14:278.3 
14  1:380.7  2:323.2  3:357.4  4:274.0  5:226.3  6:305.0  7:169.2  8:264.0  9:232.7 10:248.2 11:206.5 12:344.0 13:282.1 14:277.8 
14  1:380.8  2:323.4  3:357.2  4:274.8  5:226.4  6:305.1  7:170.1  8:263.5  9:233.6 10:249.0 11:206.5 12:344.0 13:280.6 14:277.5 
14  1:380.6  2:323.6  3:357.9  4:274.1  5:226.4  6:303.1  7:170.1  8:264.0  9:232.9 10:248.1 11:204.7 12:344.0 13:282.1 14:275.9 
14  1:380.5  2:323.5  3:357.8  4:274.0  5:226.2  6:304.6  7:168.4  8:264.0  9:233.3 10:248.0 11:206.4 12:343.8 13:282.0 14:276.8 
14  1:380.4  2:323.2  3:357.8  4:273.2  5:226.1  6:304.9  7:170.0  8:263.9  9:233.4 10:248.0 11:204.7 12:344.0 13:282.2 14:278.2 
14  1:380.5  2:310.2  3:344.4  4:273.9  5:226.1  6:304.1  7:156.5  8:263.9  9:234.0 10:249.0 11:216.6 12:343.8 13:282.1 14:278.2 
14  1:380.8  2:323.7  3:357.4  4:260.5  5:226.2  6:304.0  7:170.0  8:264.0  9:232.9 10:248.3 11:206.8 12:344.0 13:281.5 14:278.3 
14  1:379.8  2:323.7  3:357.4  4:274.7  5:226.3  6:304.7  7:169.5  8:264.0  9:233.6 10:249.1 11:204.5 12:342.5 13:281.9 14:278.3 
14  1:380.7  2:323.7  3:358.1  4:274.1  5:226.2  6:304.9  7:170.0  8:264.0  9:232.6 10:248.9 11:210.1 12:344.0 13:282.1 14:276.9 
